timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716467095286,5,Home,200,OK,Thread Group 1-1,text,true,,1497,253,1,1,http://localhost:8080/jpetstore/,4,0,1
1716467095286,4,Home-0,302,Found,Thread Group 1-1,,true,,146,126,1,1,http://localhost:8080/jpetstore,4,0,1
1716467095290,1,Home-1,200,OK,Thread Group 1-1,text,true,,1351,127,1,1,http://localhost:8080/jpetstore/,1,0,0
1716467095362,5,Main Catalog,200,OK,Thread Group 1-1,text,true,,5762,399,1,1,http://localhost:8080/jpetstore/actions/Catalog.action,5,0,0
1716467095392,4,Sign In,200,OK,Thread Group 1-1,text,true,,3925,605,1,1,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=Cyh040DIwh0suhKAAxRyi18CwEQ9Bffd0qSi4igU.ppss-vb?signonForm=,4,0,0
1716467095447,4,Home,200,OK,Thread Group 1-2,text,true,,1497,253,2,2,http://localhost:8080/jpetstore/,2,0,0
1716467095447,2,Home-0,302,Found,Thread Group 1-2,,true,,146,126,2,2,http://localhost:8080/jpetstore,2,0,0
1716467095449,2,Home-1,200,OK,Thread Group 1-2,text,true,,1351,127,2,2,http://localhost:8080/jpetstore/,2,0,0
1716467095527,5,Login,200,OK,Thread Group 1-1,text,true,,5262,1625,2,2,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1716467095527,4,Login-0,302,Found,Thread Group 1-1,,true,,193,940,2,2,http://localhost:8080/jpetstore/actions/Account.action,4,0,0
1716467095531,1,Login-1,200,OK,Thread Group 1-1,text,true,,5069,685,2,2,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1716467095534,2,Main Catalog,200,OK,Thread Group 1-2,text,true,,5762,399,2,2,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1716467095554,4,Sign In,200,OK,Thread Group 1-2,text,true,,3925,605,2,2,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=Cyh040DIwh0suhKAAxRyi18CwEQ9Bffd0qSi4igU.ppss-vb?signonForm=,4,0,0
1716467095617,3,Reptiles,200,OK,Thread Group 1-1,text,true,,3712,252,2,2,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,3,0,0
1716467095684,6,Home,200,OK,Thread Group 1-3,text,true,,1497,253,3,3,http://localhost:8080/jpetstore/,2,0,0
1716467095684,2,Home-0,302,Found,Thread Group 1-3,,true,,146,126,3,3,http://localhost:8080/jpetstore,2,0,0
1716467095686,4,Home-1,200,OK,Thread Group 1-3,text,true,,1351,127,3,3,http://localhost:8080/jpetstore/,4,0,0
1716467095688,5,Sign Out,200,OK,Thread Group 1-1,text,true,,5255,1075,3,3,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1716467095688,2,Sign Out-0,302,Found,Thread Group 1-1,,true,,333,542,3,3,http://localhost:8080/jpetstore/actions/Account.action?signoff=,2,0,0
1716467095690,3,Sign Out-1,200,OK,Thread Group 1-1,text,true,,4922,533,3,3,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1716467095716,6,Login,200,OK,Thread Group 1-2,text,true,,5262,1625,3,3,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1716467095716,3,Login-0,302,Found,Thread Group 1-2,,true,,193,940,3,3,http://localhost:8080/jpetstore/actions/Account.action,3,0,0
1716467095720,2,Login-1,200,OK,Thread Group 1-2,text,true,,5069,685,3,3,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1716467095725,3,Main Catalog,200,OK,Thread Group 1-3,text,true,,5762,399,3,3,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1716467095740,3,Reptiles,200,OK,Thread Group 1-2,text,true,,3712,252,3,3,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,3,0,0
1716467095775,3,Home,200,OK,Thread Group 1-1,text,true,,1497,391,3,3,http://localhost:8080/jpetstore/,2,0,0
1716467095775,2,Home-0,302,Found,Thread Group 1-1,,true,,146,195,3,3,http://localhost:8080/jpetstore,2,0,0
1716467095777,1,Home-1,200,OK,Thread Group 1-1,text,true,,1351,196,3,3,http://localhost:8080/jpetstore/,1,0,0
1716467095794,5,Sign In,200,OK,Thread Group 1-3,text,true,,3923,605,3,3,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=Cyh040DIwh0suhKAAxRyi18CwEQ9Bffd0qSi4igU.ppss-vb?signonForm=,5,0,0
1716467095798,6,Sign Out,200,OK,Thread Group 1-2,text,true,,5255,1075,3,3,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1716467095798,3,Sign Out-0,302,Found,Thread Group 1-2,,true,,333,542,3,3,http://localhost:8080/jpetstore/actions/Account.action?signoff=,3,0,0
1716467095801,3,Sign Out-1,200,OK,Thread Group 1-2,text,true,,4922,533,3,3,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1716467095845,14,Main Catalog,200,OK,Thread Group 1-1,text,true,,4832,468,4,4,http://localhost:8080/jpetstore/actions/Catalog.action,14,0,0
1716467095856,5,Home,200,OK,Thread Group 1-4,text,true,,1497,253,4,4,http://localhost:8080/jpetstore/,4,0,1
1716467095856,4,Home-0,302,Found,Thread Group 1-4,,true,,146,126,4,4,http://localhost:8080/jpetstore,4,0,1
1716467095860,1,Home-1,200,OK,Thread Group 1-4,text,true,,1351,127,4,4,http://localhost:8080/jpetstore/,1,0,0
